trial_id,order_id,target,pics,position,focus,prompt,sentence,category,ikemap,ikemas
148,1,しっぽ,tail.jpeg,utt-medial,out-of-focus,カニさんはしっぽを見ましたか？,いいえ、マサイさんがしっぽを見ましたよ。,filler,カニがどぅ　じゅーゆ　みーたいな？,あらん。マサイがどぅ　じゅーゆ　みーたいよ。
124,2,砂,sand.jpeg,utt-medial,out-of-focus,カニさんは砂を見ましたか？,いいえ、マサイさんが砂を見ましたよ。,filler,カニがどぅ　んなぐー　みーたいな？,あらん。マサイがどぅ　んなぐー　みーたいよ。
58,3,魚,fish.jpeg,utt-medial,out-of-focus,カニさんは魚を見ましたか？,いいえ、マサイさんが魚を見ましたよ。,experiment,カニがどぅ　っずー　みーたいな？,あらん。マサイがどぅ　っずー　みーたいよ。
154,4,月,moon.jpeg,utt-medial,out-of-focus,カニさんは月を見ましたか？,いいえ、マサイさんが月を見ましたよ。,filler,カニがどぅ　つっちゅー　みーたいな？,あらん。マサイがどぅ　つっちゅー　みーたいよ。
115,5,湖,lake.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい湖を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーほぅらなうどぅ　みーたいよ。
66,6,苗,nae.jpeg,utt-initial,out-of-focus,苗が西村の方に見えますか？,いいえ、苗が池間の方に見えますよ。,comparison,ないぬどぅ　西村ん　みーらいゆーな？,あらん。ないぬどぅ　池間ん　みーらいゆーい。
72,7,凪,nagi.jpeg,utt-initial,out-of-focus,凪が西村の方に見えますか？,いいえ、凪が池間の方に見えますよ。,comparison,なぎぬどぅ　西村ん　みーらいゆーな？,あらん。なぎぬどぅ　池間ん　みーらいゆーい。
42,8,芋,imo.jpeg,utt-initial,out-of-focus,芋が西村の方に見えますか？,いいえ、芋が池間の方に見えますよ。,experiment,んーぬどぅ　西村ん　みーらいゆーな？,あらん。んーぬどぅ　池間ん　みーらいゆーい。
16,9,綱,tsuna.jpeg,utt-medial,out-of-focus,カニさんは綱を見ましたか？,いいえ、マサイさんが綱を見ましたよ。,experiment,カニがどぅ　ん°なう　みーたいな？,あらん。マサイがどぅ　ん°なう　みーたいよ。
79,10,おにぎり,onigiri.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きいおにぎりを見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーぬいゆどぅ　みーたいよ。
13,11,綱,tsuna.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい綱を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーん°なうどぅ　みーたいよ。
95,12,藻,algae.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,藻が池間の方に見えますよ。,comparison,なうぬどぅ　池間ん　みーらいゆ？,むーぬどぅ　池間ん　みーらいゆーい。
19,13,角,horn.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい角を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーん°ぬうどぅ　みーたいよ。
32,14,草,grass.jpeg,phrase-medial,out-of-focus,カニさんは大きい草を見ましたか？,いいえ、マサイさんが大きい草を見ましたよ。,experiment,カニがどぅ　がばーっさう　みーたいな？,あらん。マサイがどぅ　がばーっさう　みーたいよ。
83,15,おにぎり,onigiri.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,おにぎりが池間の方に見えますよ。,comparison,なうぬどぅ　池間ん　みーらいゆ？,ぬいぬどぅ　池間ん　みーらいゆーい。
45,16,巻貝,makigai.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは巻貝を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　んなうどぅ　みーたいよ。
144,17,足,foot.jpeg,utt-initial,out-of-focus,足が西村の方に見えますか？,いいえ、足が池間の方に見えますよ。,filler,はずぬどぅ　西村ん　みーらいゆーな？,あらん。はずぬどぅ　池間ん　みーらいゆーい。
38,18,芋,imo.jpeg,phrase-medial,out-of-focus,カニさんは大きい芋を見ましたか？,いいえ、マサイさんが大きい芋を見ましたよ。,experiment,カニがどぅ　がばーんーぬ　みーたいな？,あらん。マサイがどぅ　がばーんーぬ　みーたいよ。
109,19,鼻,nose.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい鼻を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーはなうどぅ　みーたいよ。
122,20,砂,sand.jpeg,phrase-medial,out-of-focus,カニさんは大きい砂を見ましたか？,いいえ、マサイさんが大きい砂を見ましたよ。,filler,カニがどぅ　がばーんなぐー　みーたいな？,あらん。マサイがどぅ　がばーんなぐー　みーたいよ。
6,21,雲,cloud.jpeg,utt-initial,out-of-focus,雲が西村の方に見えますか？,いいえ、雲が池間の方に見えますよ。,experiment,ん°むぬどぅ　西村ん　みーらいゆーな？,あらん。ん°むぬどぅ　池間ん　みーらいゆーい。
33,22,草,grass.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは草を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　っさうどぅ　みーたいよ。
67,23,凪,nagi.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい凪を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーなぎゅーどぅ　みーたいよ。
